front_hooks,word,back_hooks,alphagram,definition
,SOUSER,s,EORSSU,a drunkard (one who is habitually drunk) [n -S]
,SOWBUG,s,BGOSUW,a wood louse [n -S]
,SPECKY,,CEKPSY,"marked with small spots [adj SPECKIER, SPECKIEST]"
a,SPECTS,,CEPSST,SPECT [v]
,SPITTY,,IPSTTY,"marked with saliva [adj -TIER, -TIEST]"
,SPLURT,s,LPRSTU,"to gush forth in a stream or jet [v -ED, -ING, -S]"
,SPROGS,,GOPRSS,"SPROG, a small child (a young person) [n]"
,SQUIRL,s,ILQRSU,an ornamental curve in handwriting [n -S]
,STAKER,s,AEKRST,one that marks off an area with stakes [n -S]
,STEVIA,s,AEISTV,a South American herb with sweet-tasting leaves [n -S]
,STIFFY,,FFISTY,[n STIFFIES] / an offensive word [n -S]
,STINGE,rs,EGINST,a mean or stingy person [n -S]
,STOMPY,,MOPSTY,"conducive to stomping the feet [adj STOMPIER, STOMPIEST]"
,STONKS,,KNOSST,"STONK, to bombard with artillery fire [v]"
,STOVED,,DEOSTV,"STOVE, to heat something in a heating apparatus [v]"
,STRINE,s,EINRST,English as spoken in Australia [n -S]
,SUDOKU,s,DKOSUU,a puzzle involving the numbers 1 through 9 [n -S]
,SUETES,,EESSTU,"SUETE, a southeasterly wind in areas of Cape Breton Island [n]"
,SUNBED,s,BDENSU,a device for acquiring tan skin artificially [n -S]
,SUNKER,s,EKNRSU,a ridge of rock near the surface of the sea [n -S]
,SUSING,,GINSSU,"SUS, to suss (to figure out or check out) [v]"
,SWILER,s,EILRSW,one that hunts seals [n -S]
,SWILES,,EILSSW,"SWILE, a seal (a marine mammal) [n]"
,SWINES,,EINSSW,"SWINE, a contemptible person [n]"
,SWIPER,s,EIPRSW,one that swipes (to strike with a sweeping blow) [n -S]
,SYCONS,,CNOSSY,"SYCON, a type of sponge [n]"
,TACANS,,AACNST,"TACAN, a navigational system for aircraft [n]"
,TAGINE,s,AEGINT,tajine (an earthenware Moroccan cooking pot) [n -S]
,TAHINA,s,AAHINT,tahini (a paste of sesame seeds) [n -S]
,TAIKOS,,AIKOST,"TAIKO, a barrel-shaped Japanese drum [n]"
,TAJINE,s,AEIJNT,an earthenware Moroccan cooking pot [n -S]
,TALBOT,s,ABLOTT,a large dog of an extinct breed [n -S]
,TANGAS,,AAGNST,"TANGA, a former monetary unit of Tajikistan [n]"
,TANTOS,,ANOSTT,"TANTO, a short Japanese sword [n]"
,TARGAS,,AAGRST,"TARGA, a type of convertible sports car [n]"
,TASERS,,AERSST,TASER [n]
,TASING,,AGINST,"TASE, to stun with a gun that fires electrified darts [v]"
,TASSOS,,AOSSST,"TASSO, spicy cured pork [n]"
,TAYRAS,,AARSTY,"TAYRA, a large mammal of Central and South America [n]"
,TEEVEE,s,EEEETV,[n -S]
,TEGULA,er,AEGLTU,a flat roof tile used in ancient Rome [n -LAE]
,TENESI,,EEINST,a monetary unit of Turkmenistan [n TENESI]
,TENGES,,EEGNST,"TENGE, a monetary unit of Kazakhstan [n]"
,TENNES,i,EENNST,"TENNE, an orange-brown color [n]"
,TENNOS,,ENNOST,"TENNO, the emperor of Japan considered as a divinity [n]"
,TEXTED,,DEETTX,"TEXT, to send a message from one cell phone to another [v]"
,TEXTER,s,EERTTX,one that texts (to send a message from one cell phone to another) [n -S]
,THALIS,,AHILST,"THALI, a platter on which food is served in India [n]"
,THANGS,,AGHNST,THANG [n]
,THINGY,,GHINTY,something whose name is unknown or forgotten [n THINGIES]
,THONGY,,GHNOTY,"resembling an item of clothing made from a narrow strip of fabric [adj THONGIER, THONGIEST]"
,TICKLY,,CIKLTY,"ticklish (sensitive to tickling) [adj -LIER, -LIEST]"
,TIGNON,s,GINNOT,a piece of cloth worn as a headdress in Louisiana [n -S]
,TITCHY,,CHITTY,"very small [adj TITCHIER, TITCHIEST]"
,TIYINS,,IINSTY,"TIYIN, a monetary unit of Kyrgyzstan [n]"
,TIZZES,,EISTZZ,"TIZZ, tizzy (a state of nervous confusion) [n]"
s,TOCKED,,CDEKOT,TOCK [v]
,TOERAG,s,AEGORT,a contemptible person [n -S]
,TONIFY,,FINOTY,"to give tone to [v -FIED, -FYING, -FIES]"
,TOODLE,ds,DELOOT,"to tootle (to toot softly or repeatedly) [v -DLED, -DLING, -DLES]"
,TOUPIE,s,EIOPTU,a round boneless smoked ham [n -S]
,TOUTON,s,NOOTTU,a deep-fried round of bread dough [n -S]
,TREYFA,,AEFRTY,trayf (not prepared according to Jewish law) [adj]
,TROPPO,,OOPPRT,too much -- used in musical directions [adj]
,TSOTSI,s,IOSSTT,a black African urban criminal [n -S]
,TSUBAS,,ABSSTU,"TSUBA, a part of a Japanese sword [n]"
,TSUBOS,,BOSSTU,"TSUBO, a Japanese unit of area [n]"
,TUCHIS,,CHISTU,tuchus (the buttocks (either of the two rounded parts of the rump)) [n -ES]
,TUCHUS,,CHSTUU,the buttocks (either of the two rounded parts of the rump) [n -ES]
,TUILES,,EILSTU,"TUILE, a thin cookie made with almonds [n]"
,TULSIS,,ILSSTU,"TULSI, a type of basil [n]"
,TUNKET,s,EKNTTU,hell [n -S]
,TWEEPS,,EEPSTW,"TWEEP, one who uses the Twitter online message service [n]"
,TWEEST,,EESTTW,"TWEE, affectedly cute or dainty [adj]"
,TWERPY,,EPRTWY,"resembling a twerp (a small, impudent person) [adj TWERPIER, TWERPIEST]"
,TWINKS,,IKNSTW,"TWINK, a weak or ineffectual person [n]"
,TWINKY,,IKNTWY,a twink (a weak or ineffectual person) [n -KIES]
,UMMAHS,,AHMMSU,"UMMAH, umma (the whole community of Muslims) [n]"
bcghms,UMMING,,GIMMNU,"UM, to hesitate or pause in speaking [v]"
,UNBURY,,BNRUUY,"to remove from the ground after burial [v -BURIED, -BURYING, -BURIES]"
,UNHASP,s,AHNPSU,"to unfasten (to release from fastenings) [v -ED, -ING, -S]"
,UNICED,,CDEINU,not covered with icing [adj]
,UNICOM,s,CIMNOU,a radio communications system at some airports [n -S]
,UNICUM,,CIMNUU,a unique example or specimen [n -CA]
,UNROPE,ds,ENOPRU,"to detach oneself from a rope [v -ROPED, -ROPING, -ROPES]"
,UNTHAW,s,AHNTUW,"to thaw (to melt (to change from a solid to a liquid state by heat)) [v -ED, -ING, -S]"
,UPSELL,s,ELLPSU,"to try to sell a customer something more expensive [v -SOLD, -SELLING, -SELLS]"
,UPSOLD,,DLOPSU,"UPSELL, to try to sell a customer something more expensive [v]"
r,UTILES,,EILSTU,"UTILE, an African hardwood tree [n]"
,VALLUM,s,ALLMUV,a defensive wall of earth and stone [n -S]
,VARECS,,ACERSV,"VAREC, seaweed (a plant growing in the sea) [n]"
,VARROA,s,AAORRV,a mite that is a parasite of the honeybee [n -S]
,VEGGES,,EEGGSV,"VEG, to spend time idly [v]"
,VENDUS,,DENSUV,"VENDU, an offensive word [n]"
,VERJUS,,EJRSUV,verjuice (the juice of sour or unripe fruit) [n -ES]
,VERSIN,egs,EINRSV,versine (a trigonometric function of an angle) [n -S]
,VIDIOT,s,DIIOTV,"a habitual, undiscriminating viewer of television [n -S]"
,VIELLE,s,EEILLV,a musical instrument played by turning a handle [n -S]
,VIFFED,,DEFFIV,"VIFF, to change direction abruptly of a vertical take-off aircraft [v]"
,VIRGAE,,AEGIRV,"VIRGA, wisps of precipitation evaporating before reaching ground [n]"
,VIRGER,s,EGIRRV,verger (a church official) [n -S]
,VIVATS,,AISTVV,"VIVAT, viva (a shout or cry used to express approval) [n]"
,VOLTED,,DELOTV,"VOLT, to make a quick movement in fencing to avoid a thrust [v]"
,VOMITY,,IMOTVY,"resembling or smelling of vomit [adj] / [adj VOMITIER, VOMITIEST]"
,VOXELS,,ELOSVX,"VOXEL, each of an array of elements of volume in graphic simulation [n]"
,VULNED,,DELNUV,"VULN, to wound (to inflict an injury upon) [v]"
s,WACKED,,ACDEKW,whacked (1. intoxicated on alcohol or drugs 2. exhausted) [adj]
,WALLEY,es,AELLWY,a type of jump in figure skating [n -LEYS]
,WARBLY,,ABLRWY,"voiced in a trilling or quavering manner [adj -BLIER, -BLIEST]"
,WATCHA,,AACHTW,[interj]
,WAYANG,s,AAGNWY,a performance featuring puppets or human dancers [n -S]
,WEEING,,EEGINW,"WEE, to urinate (to discharge urine) [v]"
,WHATSO,,AHOSTW,what or who it may be [pron]
,WHIFFY,,FFHIWY,"having an unpleasant smell [adj WHIFFIER, WHIFFIEST]"
,WHINGY,,GHINWY,"tending to whinge [adj WHINGIER, WHINGIEST]"
,WHOOMP,hs,HMOOPW,a sudden loud sound [n -S]
,WHOSIT,s,HIOSTW,whoosis (an object or person whose name is not known) [n -S]
,WHYDAS,,ADHSWY,"WHYDA, whydah (an African bird) [n]"
s,WIGGER,sy,EGGIRW,an unreliable or eccentric person [n -S]
t,WITTER,s,EIRTTW,"to speak at length on trivial matters [v -ED, -ING, -S]"
,WOGGLE,s,EGGLOW,a ring through which a Scout's neckerchief is threaded [n -S]
,WOOPIE,s,EIOOPW,a well-off older person [n -S]
,WUSHUS,,HSSUUW,"WUSHU, Chinese martial arts [n]"
,YAFFLE,s,AEFFLY,the European green woodpecker [n -S]
,YARAKS,,AAKRSY,"YARAK, a fit condition for hunting -- used of a hawk [n]"
,YESSIR,,EIRSSY,used to express assent [interj]
,YESSUM,,EMSSUY,used to express assent to a woman [interj]
,YOGISM,s,GIMOSY,the practice or system of yoga [n -S]
,YOMPED,,DEMOPY,"YOMP, to march with heavy equipment over difficult terrain [v]"
,YUKATA,s,AAKTUY,a light cotton kimono [n -S]
,ZAIDAS,,AADISZ,"ZAIDA, zeda (grandfather) [n]"
,ZAIDEH,s,ADEHIZ,zeda (grandfather) [n -S]
,ZAKATS,,AAKSTZ,"ZAKAT, payment made annually under Islamic law on certain kinds of property [n]"
,ZENDOS,,DENOSZ,"ZENDO, a place where Zen Buddhists meditate and study [n]"
,ZINCOS,,CINOSZ,"ZINCO, a letterpress printing plate made of zinc [n]"
,ZIPOLA,s,AILOPZ,zippo (nothing (the absence of all quantity or magnitude)) [n -S]
,ZIPPOS,,IOPPSZ,"ZIPPO, nothing (the absence of all quantity or magnitude) [n]"
,ZIZZED,,DEIZZZ,"ZIZZ, to make a buzzing sound [n]"
,ZIZZES,,EISZZZ,"ZIZZ, to make a buzzing sound [n]"
,ZUPPAS,,APPSUZ,"ZUPPA, a fish soup [n]"
,ACRATIC,,AACCIRT,"ACRASIA, a lack of self-control [adj]"
,ADELGID,s,ADDEGIL,a small insect (any of a class of small invertebrate animals) [n -S]
,ADIOSES,,ADEIOSS,"ADIOS, goodbye (a concluding remark or gesture at parting) [n]"
b,ADLANDS,,AADDLNS,"ADLAND, the world of advertising [n]"
,ADSUKIS,,ADIKSSU,"ADSUKI, adzuki (the edible seed of an Asian plant) [n]"
,ADWARES,,AADERSW,"ADWARE, computer software that is provided free but has advertisements [n]"
,AERADIO,s,AADEIOR,a Canadian radio service for pilots [n -DIOS]
,AETATIS,,AAEISTT,of the age of [adj]
,AGONISM,s,AGIMNOS,a contest or struggle [n -S]
,AIRBASE,s,AABEIRS,a military base for aircraft [n -S]
h,AIRLOCK,s,ACIKLOR,a blockage in a pipe caused by an air bubble [n -S]
,AIRSIDE,s,ADEIIRS,the side of an airport terminal facing the aircraft [n -S]
,AIRSOME,,AEIMORS,cold (having little or no warmth) [adj]
,AIRTRAM,s,AAIMRRT,an aerial cable car [n -S]
,AIRVACS,,AACIRSV,"AIRVAC, evacuation by air ambulance [n]"
,AKEBIAS,,AABEIKS,"AKEBIA, a climbing shrub [n]"
,AKRASIA,s,AAAIKRS,acrasia (a lack of self-control) [n -S] : AKRATIC ~adj
,AKRATIC,,AACIKRT,"AKRASIA, acrasia (a lack of self-control) [adj]"
,ALCOOLS,,ACLLOOS,"ALCOOL, an alcoholic liquor [n]"
,ALCOPOP,s,ACLOOPP,a flavored beverage containing 4-6 percent alcohol [n -S]
,ALIASED,,AADEILS,"ALIAS, to assign an assumed name to [v]"
,ALIYOTH,,AHILOTY,"ALIYAH, the immigration of Jews to Israel [n]"
,ALLIAKS,,AAIKLLS,"ALLIAK, an Inuit sledge [n]"
,AMAUTIK,s,AAIKMTU,an Inuit woman's parka [n -S]
,AMAUTIS,,AAIMSTU,"AMAUTI, amautik (an Inuit woman's parka) [n]"
r,AMENTUM,,AEMMNTU,ament (a mentally deficient person) [n -TA]
,AMTRAKS,,AAKMRST,"AMTRAK, amtrac (a military vehicle equipped to move on land and water) [n]"
,ANANDAS,,AAADNNS,"ANANDA, extreme happiness [n]"
,ANIMATI,,AAIIMNT,"ANIMATO, a musical passage played in a lively manner [n]"
,ANODISE,drs,ADEINOS,"to anodize (to coat with a protective film by chemical means) [v -ISED, -ISING, -ISES]"
,ANTHROS,,AHNORST,"ANTHRO, anthropology [n]"
,APLANAT,s,AAALNPT,a type of reflecting or refracting surface [n -S]
,APPRESS,,AEPPRSS,"to press close to something else [v -ED, -ING, -ES]"
,AQUAFIT,s,AAFIQTU,an exercise class in water [n -S]
,ARCINGS,,ACGINRS,"ARCING, the curved form of an arc [n]"
,ARROCES,,ACEORRS,"ARROZ, rice [n]"
,ARROZES,,AEORRSZ,"ARROZ, rice [n]"
,ARTIGIS,,AGIIRST,"ARTIGI, atigi (a type of Inuit parka) [n]"
,ARTSIES,t,AEIRSST,"ARTSIE, a student in an arts program [n]"
,ASHPANS,,AAHNPSS,"ASHPAN, a tray under a grate to catch the ashes [n]"
,ASHRAMA,s,AAAHMRS,a stage of life in Hinduism [n -S]
,ASKARIS,,AAIKRSS,"ASKARI, a soldier or police officer of eastern Africa [n]"
,ASPRAWL,,AALPRSW,sprawling [adj]
,ASTANGA,s,AAAGNST,ashtanga (a type of yoga (a Hindu philosophy involving physical and mental disciplines)) [n -S]
,ATISHOO,,AHIOOST,ahchoo (used to represent the sound of a sneeze) [interj]
,BABACUS,,AABBCSU,"BABACU, babassu (a palm tree) [n]"
,BACCALA,s,AAABCCL,a codfish (a marine food fish) [n -S]
,BACCIES,,ABCCEIS,"BACCY, tobacco (an annual herb cultivated for its leaves) [n]"
,BACKBAR,s,AABBCKR,the space behind a bar with shelves for bottles [n -S]
,BACKFAT,s,AABCFKT,a layer of fat between the skin and muscle in animals [n -S]
,BACKLOT,s,ABCKLOT,an outdoor area in a movie studio [n -S]
,BADDISH,,ABDDHIS,"BAD, something that is bad [adj]"
,BAIDARS,,AABDIRS,"BAIDAR, bidarka (an Inuit canoe) [n]"
,BALAFON,s,AABFLNO,a musical instrument of Africa [n -S]
,BALINGS,,ABGILNS,"BALING, the forming of something into tight bundles [n]"
,BALLBOY,s,ABBLLOY,a boy who retrieves balls during games [n -BOYS]
,BALLIER,,ABEILLR,BALLY [adj]
,BALLSED,,ABDELLS,"BALLS, to make a mistake in doing something [v]"
,BALLSES,,ABELLSS,"BALLS, to make a mistake in doing something [v]"
,BANDIER,,ABDEINR,"BANDY, curved apart at the knees [adj]"
,BANDURA,s,AABDNRU,a Ukrainian stringed instrument [n -S]
,BARBOTS,,ABBORST,"BARBOT, barbotte (a large catfish (a scaleless, large-headed fish)) [n]"
,BARGOON,s,ABGNOOR,a bargain [n -S]
,BARMILY,,ABILMRY,"BARMY, full of barm; frothy [adv]"
,BASSEST,,ABESSST,"BASS, deep-sounding [adj]"
,BATARDS,,AABDRST,"BATARD, a birch-bark canoe [n]"
,BATATAS,,AAABSTT,"BATATA, a sweet potato [n]"
,BATSHIT,,ABHISTT,[adj] / an offensive word [adj]
,BATTILY,,ABILTTY,in a batty manner [adv]
,BAULKER,s,ABEKLRU,balker (one that balks (to stop short and refuse to proceed)) [n -S]
,BAYSIDE,s,ABDEISY,the shore of a bay (an inlet of the sea) [n -S]
,BAYWOPS,,ABOPSWY,"BAYWOP, an offensive word [n]"
,BAZZING,,ABGINZZ,"BAZZ, to throw (as a stone) [v]"
,BEAGLED,,ABDEEGL,"BEAGLE, to hunt with beagles (small hounds) [v]"
,BEAGLER,s,ABEEGLR,one that hunts game with beagles [n -S]
,BEALING,s,ABEGILN,a beal (an infected sore (a painful place on the body)) [n -S]
,BEARPAW,s,AABEPRW,the paw of a bear [n -S]
,BEATBOX,,ABBEOTX,"to sing to the rhythm of rap music [v -ED, -ING, -ES]"
,BEAUTER,,ABEERTU,"BEAUT, beautiful [adj]"
,BEDHEAD,s,ABDDEEH,an upright board at the head of a bed [n -S]
,BEDREST,s,BDEERST,confinement to bed [n -S]
,BEDSOCK,s,BCDEKOS,a sock for wear in a bed [n -S]
,BEERILY,,BEEILRY,"BEERY, affected by beer [adv]"
,BEERNUT,s,BEENRTU,a peanut with a sweet coating [n -S]
,BEHOOFS,,BEFHOOS,"BEHOOF, use, advantage, or benefit [n]"
,BEIGEST,,BEEGIST,"BEIGE, of a tan color [adj]"
,BEJASUS,,ABEJSSU,bejesus (an exclamation used as a mild oath) [n -ES]
,BERBERS,,BBEERRS,"BERBER, a type of carpet [n]"
,BERDASH,,ABDEHRS,berdache (a Native American male transvestite) [n -ES]
,BEVVIES,,BEEISVV,"BEVVY, an alcoholic drink [n]"
,BIFIDUM,s,BDFIIMU,"a bacterium often added to yogurt [n -DA] / [n BIFIDA, -S]"
,BIFOLDS,,BDFILOS,"BIFOLD, a two-piece door [n]"
,BIGUINE,s,BEGIINU,beguine (a lively dance) [n -S]
,BIJURAL,,ABIJLRU,pertaining to a single jurisdiction with two legal systems [adj]
,BIMINIS,,BIIIMNS,"BIMINI, a type of awning for a yacht [n]"
,BITTILY,,BIILTTY,"BITTY, tiny (very small) [adv]"
,BITWISE,,BEIISTW,denoting an operator in a computer program that deals with bits [adj]
,BLAGGED,,ABDEGGL,"BLAG, to rob with violence [v]"
,BLAGGER,s,ABEGGLR,one that blags (to rob with violence) [n -S]
,BLAGUES,,ABEGLSU,"BLAGUE, pretentious nonsense [n]"
,BLAHEST,,ABEHLST,"BLAH, dull, unexciting [adj]"
,BLAMMED,,ABDELMM,"BLAM, to make a loud sound like that of a gunshot [v]"
,BLANKIE,s,ABEIKLN,a child's blanket (a piece of fabric used as a cover) [n -S]
,BLEARER,,ABEELRR,BLEAR [adj]
,BLEWITS,,BEILSTW,a pale lilac mushroom [n -ES] / BLEWIT [n]
,BLINGED,,BDEGILN,"BLING, to adopt a flamboyant appearance [v]"
,BLOGGED,,BDEGGLO,"BLOG, to record personal comments on a Web site [v]"
,BLOKIER,,BEIKLOR,"BLOKEY, blokeish (resembling the typical behavior of a bloke) [adj]"
,BODYMAN,,ABDMNOY,one who repairs auto bodies [n -MEN]
,BODYMEN,,BDEMNOY,"BODYMAN, one who repairs auto bodies [n]"
,BOFFINY,,BFFINOY,"BOFFIN, a scientific expert [adj]"
,BOGHOLE,s,BEGHLOO,a natural hole in the ground with a swampy bottom [n -S]
,BOGLAND,s,ABDGLNO,an area of boggy land [n -S]
,BOINGED,,BDEGINO,"BOING, to make the sound of reverberation or vibration [v]"
,BOKKENS,,BEKKNOS,"BOKKEN, a wooden sword used for training [n]"
,BOLDING,,BDGILNO,"BOLD, to boldface (to print in thick type) [v]"
,BOMBORA,s,ABBMOOR,a sea area over a ridge of rock [n -S]
,BONEBED,s,BBDEENO,an area containing dinosaur fossils [n -S]
,BONNIES,t,BEINNOS,"BONNY, a person that one loves [n]"
,BONTBOK,s,BBKNOOT,bontebok (an antelope (a ruminant mammal)) [n -S]
,BOOKBAG,s,ABBGKOO,a bag for carrying books [n -S]
,BOONEST,,BENOOST,BOON [adj]
,BOPPIER,,BEIOPPR,"BOPPY, suggestive of bebop [adj]"
,BOPPISH,,BHIOPPS,boppy (suggestive of bebop) [adj]
,BORAZON,s,ABNOORZ,a hard form of boron nitride [n -S]
,BORONIA,s,ABINOOR,an Australian shrub [n -S]
,BOSSEST,,BEOSSST,"BOSS, first-rate, excellent [adj]"
,BOULTED,,BDELOTU,"BOULT, to bolt (sift) [v]"
,BOUTADE,s,ABDEOTU,a sudden outburst [n -S]
,BOVVERS,,BEORSVV,"BOVVER, rowdy behavior [n]"
,BOWHUNT,s,BHNOTUW,"to hunt with a bow and arrow [v -ED, -ING, -S]"
,BOWSAWS,,ABOSSWW,"BOWSAW, a saw having a blade in a bow-shaped frame [n]"
,BOWSERS,,BEORSSW,"BOWSER, a truck having a tank for fuel or water [n]"
,BOWSMAN,,ABMNOSW,a bowman (an archer (one that shoots with a bow and arrow)) [n -MEN]
,BOWSMEN,,BEMNOSW,"BOWSMAN, a bowman (an archer (one that shoots with a bow and arrow)) [n]"
,BOWWOOD,s,BDOOOWW,a deciduous tree [n -S]
,BRAHMAN,s,AABHMNR,a member of the highest Hindu caste [n -S]
,BREGMAS,,ABEGMRS,"BREGMA, a junction point of the skull [n]"
,BREKKIE,s,BEEIKKR,breakfast [n -S]
,BRIDIES,,BDEIIRS,"BRIDIE, a pastry filled with meat and onions [n]"
,BRILLER,,BEILLRR,BRILL [adj]
,BROASTS,,ABORSST,"BROAST, to broil and roast food [v]"
,BROLGAS,,ABGLORS,"BROLGA, a large Australian bird [n]"
,BRUCITE,s,BCEIRTU,a form of magnesium hydroxide [n -S]
,BRUTEST,,BERSTTU,"BRUTE, resembling an animal; cruel [adj]"
,BUDWOOD,s,BDDOOUW,a branch having buds that is used for grafting [n -S]
,BULGARS,,ABGLRSU,"BULGAR, bulgur (crushed wheat) [n]"
,BULKERS,,BEKLRSU,"BULKER, a ship that carries cargo in bulk (a mass) [n]"
,BULLEYS,,BELLSUY,"BULLEY, a two-masted fishing boat [n]"
,BUMBAGS,,ABBGMSU,"BUMBAG, a pack that straps to the waist [n]"
,BUMBOYS,,BBMOSUY,"BUMBOY, an offensive word [n]"
,BUMWADS,,ABDMSUW,"BUMWAD, an offensive word [n]"
,BUNCHER,s,BCEHNRU,one that gathers things together [n -S]
,BUNCOES,,BCENOSU,"BUNCO, to swindle (to take money or property from by fraudulent means) [v]"
,BUNHEAD,s,ABDEHNU,a female ballet dancer [n -S]
,BUNKIES,,BEIKNSU,"BUNKIE, a small separate building for guests [n]"
,BUNYIPS,,BINPSUY,"BUNYIP, a fabulous monster of swamps [n]"
,BURKHAS,,ABHKRSU,"BURKHA, burka (a long loose outer garment worn by some Muslim women) [n]"
,BURPEES,,BEEPRSU,"BURPEE, a physical exercise [n]"
,BUSHIES,t,BEHISSU,"BUSHY, a person who lives in the bush (the wilderness) [n]"
,BUSHLOT,s,BHLOSTU,a woodlot (an area restricted to the growing of forest trees) [n -S]
,BUSTEES,,BEESSTU,"BUSTEE, a slum in India [n]"
,BUTTLED,,BDELTTU,"BUTTLE, to serve as a butler [v]"
,BUTTLES,,BELSTTU,"BUTTLE, to serve as a butler [v]"
,BUZZIER,,BEIRUZZ,"BUZZY, having a vibrating sound [adj]"
,CABOVER,s,ABCEORV,a truck having the driver's compartment over the engine [n -S]
,CACHACA,s,AAACCCH,a Brazilian liquor [n -S]
,CAFARDS,,AACDFRS,"CAFARD, a state of depression [n]"
,CAGOULE,s,ACEGLOU,a hooded waterproof garment [n -S]
,CAHOUNS,,ACHNOSU,"CAHOUN, cohune (a palm tree) [n]"
,CAKEBOX,,ABCEKOX,a container for a cake (a sweet baked food) [n -ES]
,CALIXES,,ACEILSX,"CALIX, a cup [n]"
,CALLOUT,s,ACLLOTU,an inset in a printed article [n -S]
,CALLUNA,s,AACLLNU,an evergreen shrub [n -S]
,CALZONI,,ACILNOZ,"CALZONE, a turnover with a savory filling [n]"
,CAMCORD,s,ACCDMOR,"to videotape with a portable camera [v -ED, -ING, -S]"
,CAMWOOD,s,ACDMOOW,an African hardwood tree [n -S]
,CANINGS,,ACGINNS,"CANING, punishment with a cane [n]"
,CANTHIC,,ACCHINT,"CANTHUS, a corner of the eye [adj]"
,CAPEESH,,ACEEHPS,capisce (used to ask if one understands) [interj]
,CAPISCE,,ACCEIPS,used to ask if one understands [interj]
,CAPRESE,s,ACEEPRS,"a salad containing mozzarella, tomatoes, basil, and olive oil [n -S]"
,CARDIOS,,ACDIORS,"CARDIO, an exercise involving the heart and blood vessels [n]"
,CARIBOO,s,ABCIOOR,a caribou (a large deer (a ruminant mammal)) [n -BOOS]
,CARINGS,,ACGINRS,"CARING, the work of looking after someone [n]"
,CARTFUL,s,ACFLRTU,a cartload (as much as a cart can hold) [n -S]
,CARVERY,,ACERRVY,a buffet restaurant serving roast beef [n -ERIES]
,CASELAW,s,AACELSW,a law established by previous cases [n -S]
,CAZHEST,,ACEHSTZ,"CAZH, casual [adj]"
,CERESIN,s,CEEINRS,a hard whitish wax [n -S]
,CERVIDS,,CDEIRSV,"CERVID, a mammal of the deer family [n]"
,CHAINER,s,ACEHINR,[n -S] / CHAINE [adj]
,CHAMBRE,,ABCEHMR,brought (as wine) to room temperature [adj]
,CHAPPAL,s,AACHLPP,a sandal worn in India [n -S]
,CHEVETS,,CEEHSTV,"CHEVET, the apsidal end of a church [n]"
,CHICOTS,,CCHIOST,"CHICOT, a dead tree [n]"
,CHILLAX,,ACHILLX,"to calm down [v -ED, -ING, -ES]"
,CHINOIS,,CHIINOS,a cone-shaped sieve [n -NOISES]
,CHINSED,,CDEHINS,"CHINSE, to fill the seams in a boat or cabin [v]"
,CHINSES,,CEHINSS,"CHINSE, to fill the seams in a boat or cabin [v]"
,CHIPSET,s,CEHIPST,a set of integrated circuits [n -S]
,CHITALS,,ACHILST,"CHITAL, an Asian deer [n]"
,CHOKEYS,,CEHKOSY,"CHOKEY, choky (a prison) [n]"
,CHOKIES,t,CEHIKOS,"CHOKY, a prison [n]"
,CHUCKER,s,CCEHKRU,one that chucks (to throw (to propel through the air with a movement of the arm)) [n -S]
,CHUNDER,s,CDEHNRU,"to vomit (to eject the contents of the stomach through the mouth) [v -ED, -ING, -S]"
,CHUPPOT,,CHOPPTU,"CHUPPA, chuppah (a canopy used at a Jewish wedding) [n] / CHUPPAH, a canopy used at a Jewish wedding [n] / HUPPAH, chuppah (a canopy used at a Jewish wedding) [n]"
,CHUSING,,CGHINSU,"CHUSE, to choose (to take by preference) [v]"
,CIGGIES,,CEGGIIS,"CIGGIE, a cigarette [n] / CIGGY, ciggie (a cigarette) [n]"
,CLITTER,s,CEILRTT,"to make a thin rattling sound [v -ED, -ING, -S]"
,CLOTBUR,s,BCLORTU,a type of plant with prickly seeds [n -S]
,CLUCKER,s,CCEKLRU,a chicken [n -S]
,CLUMPER,s,CELMPRU,a large floating chunk of ice [n -S]
,CLUMPET,s,CELMPTU,a clumper (a large floating chunk of ice) [n -S]
,COADIES,,ACDEIOS,"COADY, a sauce made from molasses [n]"
,COCKIES,t,CCEIKOS,"COCKY, a cockatoo (a parrot) [n]"
,CODEXES,,CDEEOSX,"CODEX, an ancient manuscript [n]"
,CODINGS,,CDGINOS,"CODING, the process of converting into symbols [n]"
,COKINGS,,CGIKNOS,"COKING, the process of converting coal into coke (a carbon fuel) [n]"
,COLBIES,,BCEILOS,"COLBY, a mild cheese [n]"
,COLTANS,,ACLNOST,"COLTAN, a black ore containing columbite and tantalite [n]"
,COMFILY,,CFILMOY,"COMFY, comfortable [adv]"
,COMMISH,,CHIMMOS,a commissioner [n -ES]
,COMSATS,,ACMOSST,COMSAT [n]
,CONNORS,,CNNOORS,"CONNOR, a saltwater fish [n]"
,CONURES,,CENORSU,"CONURE, a tropical American parakeet [n]"
,CORELLA,s,ACELLOR,a small cockatoo (a parrot) [n -S]
,CORIUMS,,CIMORSU,"CORIUM, a skin layer [n]"
,CORMLET,s,CELMORT,a small corm (a stem of certain plants) [n -S]
,CORNETT,ios,CENORTT,cornetto (a musical wind instrument) [n -S]
,COROZOS,,COOORSZ,"COROZO, a tropical palm tree [n]"
,COTEAUS,,ACEOSTU,"COTEAU, the higher ground of a region [n]"
,COVINES,,CEINOSV,"COVINE, covin (a conspiracy to defraud) [n]"
,COWLIKE,,CEIKLOW,resembling a cow [adj]
